index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.07291666666666667,1.743086613714695e-06,GaussianNB,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.05733090123232586,1.743086613714695e-06,GaussianNB,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.604109557748538,1.743086613714695e-06,GaussianNB,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.07720740393951352,1.743086613714695e-06,GaussianNB,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,1.743086613714695e-06,1.743086613714695e-06,GaussianNB,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,3.1259247205323643e-06,GaussianNB,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11523433572871254,3.1259247205323643e-06,GaussianNB,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6269255223562379,3.1259247205323643e-06,GaussianNB,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.12469708187308451,3.1259247205323643e-06,GaussianNB,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,3.1259247205323643e-06,3.1259247205323643e-06,GaussianNB,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.08680555555555555,3.5471231159236695e-06,GaussianNB,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.09305458451016795,3.5471231159236695e-06,GaussianNB,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6222460810591294,3.5471231159236695e-06,GaussianNB,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.10529458328494223,3.5471231159236695e-06,GaussianNB,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,3.5471231159236695e-06,3.5471231159236695e-06,GaussianNB,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,0.00011072534188214276,SVC,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11719675378576005,0.00011072534188214276,SVC,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.639399696434373,0.00011072534188214276,SVC,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.11162958637840247,0.00011072534188214276,SVC,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,0.00011072534188214276,0.00011072534188214276,SVC,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,2.912436094548967e-05,SVC,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11545001217261097,2.912436094548967e-05,SVC,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6387956109892787,2.912436094548967e-05,SVC,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.1311944258305059,2.912436094548967e-05,SVC,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.912436094548967e-05,2.912436094548967e-05,SVC,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,2.9212839177085295e-05,SVC,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11719675378576005,2.9212839177085295e-05,SVC,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6394980506822612,2.9212839177085295e-05,SVC,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.11881145457313208,2.9212839177085295e-05,SVC,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.9212839177085295e-05,2.9212839177085295e-05,SVC,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09722222222222222,2.92487856414583e-05,SVC,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11523433572871254,2.92487856414583e-05,SVC,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6394777452891488,2.92487856414583e-05,SVC,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.13566156683384956,2.92487856414583e-05,SVC,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.92487856414583e-05,2.92487856414583e-05,SVC,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.09375,2.963264317562183e-05,SVC,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.11033421928821519,2.963264317562183e-05,SVC,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6371223196881092,2.963264317562183e-05,SVC,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
